Cambodia,Cameroon,Côte d'Ivoire,Mozambique,Sierra Leone,Uganda,Zambia
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),54 (42 to 67),63 (47 to 77)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),4 (-3 to 13),6 (-3 to 17)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),-19 (-31 to -7),-21 (-35 to -7)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),-24 (-34 to -14),-28 (-40 to -17)
0,0,0,0,0,17.26,19.64
0,0,0,0,0,18.06,20.9
0,0,0,0,0,14.1,16.21
0,0,0,0,0,85.75,126.74
0,0,0,0,0,47.26,51.63
0,0,0,0,0,51.53,59.84
0,0,0,0,0,42.31,48.04
0,0,0,0,0,44.28,51.12
0,0,0,0,0,34.56,39.65
0,0,0,0,0,210.21,310
0,0,0,0,0,115.86,126.29
0,0,0,0,0,126.33,146.38
