Cambodia,Cameroon,Côte d'Ivoire,Mozambique,Sierra Leone,Uganda,Zambia
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),43 (33 to 53),49 (38 to 61)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),-3 (-10 to 4),-2 (-10 to 6)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),-23 (-33 to -12),-26 (-38 to -13)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),-20 (-28 to -12),-23 (-32 to -14)
0,0,0,0,0,36.78,41.95
0,0,0,0,0,34,39.51
0,0,0,0,0,30.78,35.33
0,0,0,0,0,-71.63,-43.13
0,0,0,0,0,57.75,65.51
0,0,0,0,0,44.07,52.62
0,0,0,0,0,90.15,102.6
0,0,0,0,0,83.34,96.64
0,0,0,0,0,75.45,86.42
0,0,0,0,0,-175.6,-105.51
0,0,0,0,0,141.58,160.24
0,0,0,0,0,108.03,128.71
